puma,month,day_group,ridership
4121,3,weekend,2481424.67
4165,3,total,32305012.67
4165,3,weekday,27303526.5
4165,3,weekend,5001486.16
4204,3,total,1652992.33
4204,3,weekday,1353606.33
4204,3,weekend,299385.99
4205,3,total,1468724.99
4205,3,weekday,1204107.83
4205,3,weekend,264617.16
4207,3,total,1583347.33
4207,3,weekday,1321403.67
4207,3,weekend,261943.67
4208,3,total,703128.16
4208,3,weekday,590839.5
4208,3,weekend,112288.67
4209,3,total,884553.33
4209,3,weekday,731431.34
4209,3,weekend,153122.0
4210,3,total,742526.34
4210,3,weekday,633139.01
4210,3,weekend,109387.33
4211,3,total,647455.0
4211,3,weekday,558431.34
4211,3,weekend,89023.66
4212,3,total,1049520.0
4212,3,weekday,892477.67
4212,3,weekend,157042.33
4221,3,total,2821551.0
4221,3,weekday,2358244.67
4221,3,weekend,463306.33
4263,3,total,786761.66
4263,3,weekday,646052.01
4263,3,weekend,140709.67
4301,3,total,3310380.32
4301,3,weekday,2657852.0
4301,3,weekend,652528.33
4302,3,total,5188462.32
4302,3,weekday,4379809.66
4302,3,weekend,808652.65
4303,3,total,2275618.32
4303,3,weekday,1839313.66
4303,3,weekend,436304.67
4304,3,total,2093494.33
4304,3,weekday,1676319.01
4304,3,weekend,417175.34
4305,3,total,1642658.01
4305,3,weekday,1387140.66
4305,3,weekend,255517.33
4306,3,total,2953553.99
4306,3,weekday,2412485.68
4306,3,weekend,541068.34
4307,3,total,2038481.35
4307,3,weekday,1666940.67
4307,3,weekend,371540.67
4308,3,total,329027.67
4308,3,weekday,267028.0
4308,3,weekend,61999.66
4309,3,total,2295444.66
4309,3,weekday,1890145.67
4309,3,weekend,405299.01
4310,3,total,829462.01
4310,3,weekday,693751.67
4310,3,weekend,135710.33
4311,3,total,1668976.33
4311,3,weekday,1359085.66
4311,3,weekend,309890.68
4312,3,total,1020880.0
4312,3,weekday,854274.67
4312,3,weekend,166605.34
4313,3,total,965540.0
4313,3,weekday,805831.0
4313,3,weekend,159709.0
4314,3,total,2073655.33
4314,3,weekday,1743415.34
4314,3,weekend,330239.99
4315,3,total,1406860.99
4315,3,weekday,1194580.32
4315,3,weekend,212280.67
4316,3,total,1517065.34
4316,3,weekday,1237140.83
4316,3,weekend,279924.5
4317,3,total,572891.67
4317,3,weekday,480032.0
4317,3,weekend,92859.66
4318,3,total,309994.33
4318,3,weekday,266282.67
4318,3,weekend,43711.67
4401,3,total,3104218.5
4401,3,weekday,2636806.51
4401,3,weekend,467412.0
4402,3,total,3584977.33
4402,3,weekday,3009526.68
4402,3,weekend,575450.67
4403,3,total,1141273.67
4403,3,weekday,923274.67
4403,3,weekend,217999.0
4404,3,total,4751024.67
4404,3,weekday,3814934.66
4404,3,weekend,936090.0
4405,3,total,581391.33
4405,3,weekday,503879.34
4405,3,weekend,77512.0
4406,3,total,1476908.0
4406,3,weekday,1244035.0
4406,3,weekend,232873.01
4407,3,total,1530925.67
4407,3,weekday,1251099.67
4407,3,weekend,279826.0
4409,3,total,740649.83
4409,3,weekday,646395.33
4409,3,weekend,94254.5
4410,3,total,794269.34
4410,3,weekday,660236.66
4410,3,weekend,134032.67
4412,3,total,2673708.66
4412,3,weekday,2285256.66
4412,3,weekend,388451.99
4414,3,total,462630.65
4414,3,weekday,383378.32
4414,3,weekend,79252.33
4103,4,total,2800558.0
4103,4,weekday,2201336.0
4103,4,weekend,599222.0
4104,4,total,4641608.66
4104,4,weekday,3715914.33
4104,4,weekend,925694.34
4107,4,total,7902469.33
4107,4,weekday,6307638.5
4107,4,weekend,1594830.83
4108,4,total,6462159.34
4108,4,weekday,5362071.0
4108,4,weekend,1100088.33
4109,4,total,2891260.34
4109,4,weekday,2293592.33
4109,4,weekend,597668.0
4110,4,total,1999653.49
4110,4,weekday,1601678.33
4110,4,weekend,397975.17
4111,4,total,2262814.67
4111,4,weekday,1838671.34
4111,4,weekend,424143.32
4112,4,total,3336168.0
4112,4,weekday,2678774.17
4112,4,weekend,657393.83
4121,4,total,16089218.99
4121,4,weekday,13480982.03
4121,4,weekend,2608237.01
4165,4,total,31838914.0
4165,4,weekday,26657178.3
4165,4,weekend,5181735.66
4204,4,total,1763937.82
4204,4,weekday,1397982.83
4204,4,weekend,365954.99
4205,4,total,1406083.99
4205,4,weekday,1133797.66
4205,4,weekend,272286.33
4207,4,total,1533749.01
4207,4,weekday,1247359.34
4207,4,weekend,286389.67
4208,4,total,676902.17
4208,4,weekday,568240.16
4208,4,weekend,108662.0
4209,4,total,850405.33
4209,4,weekday,693697.33
4209,4,weekend,156708.01
4210,4,total,715381.33
4210,4,weekday,600696.33
4210,4,weekend,114685.01
4211,4,total,616259.67
4211,4,weekday,528358.34
4211,4,weekend,87901.34
4212,4,total,999503.67
4212,4,weekday,833587.66
4212,4,weekend,165916.0
4221,4,total,2650697.02
4221,4,weekday,2186370.66
4221,4,weekend,464326.33
4263,4,total,750764.0
4263,4,weekday,603818.34
4263,4,weekend,146945.67
4301,4,total,3276748.66
4301,4,weekday,2554653.68
4301,4,weekend,722095.0
4302,4,total,5056221.68
4302,4,weekday,4232314.0
4302,4,weekend,823907.67
4303,4,total,2177045.0
4303,4,weekday,1750185.68
4303,4,weekend,426859.33
4304,4,total,2016618.0
4304,4,weekday,1615428.33
4304,4,weekend,401189.67
4305,4,total,1584354.98
4305,4,weekday,1303202.68
4305,4,weekend,281152.37
4306,4,total,2827315.01
4306,4,weekday,2275388.67
4306,4,weekend,551926.34
4307,4,total,1956908.99
4307,4,weekday,1575596.34
4307,4,weekend,381312.68
4308,4,total,320300.0
4308,4,weekday,257761.67
4308,4,weekend,62538.34
4309,4,total,2222892.67
4309,4,weekday,1784103.99
4309,4,weekend,438788.66
4310,4,total,780514.01
4310,4,weekday,655080.34
4310,4,weekend,125433.67
4311,4,total,1551136.33
4311,4,weekday,1274434.66
4311,4,weekend,276701.66
4312,4,total,950268.67
4312,4,weekday,791150.34
4312,4,weekend,159118.32
4313,4,total,1001900.34
4313,4,weekday,788142.0
4313,4,weekend,213758.34
4314,4,total,1970438.01
4314,4,weekday,1628016.67
4314,4,weekend,342421.33
4315,4,total,1357388.0
4315,4,weekday,1128625.0
4315,4,weekend,228763.0
4316,4,total,1421283.17
4316,4,weekday,1170078.5
4316,4,weekend,251204.66
4317,4,total,543178.33
4317,4,weekday,450910.67
4317,4,weekend,92267.67
4318,4,total,300152.67
4318,4,weekday,252360.0
4318,4,weekend,47792.67
4401,4,total,3149392.67
4401,4,weekday,2648206.83
4401,4,weekend,501185.83
4402,4,total,3486982.0
4402,4,weekday,2883745.67
4402,4,weekend,603236.32
4403,4,total,1153122.0
4403,4,weekday,899881.34
4403,4,weekend,253240.66
4404,4,total,4744036.67
4404,4,weekday,3743627.67
4404,4,weekend,1000409.0
4405,4,total,546807.67
4405,4,weekday,478444.67
4405,4,weekend,68363.0
4406,4,total,1412105.0
4406,4,weekday,1182056.34
4406,4,weekend,230048.67
4407,4,total,1474975.0
4407,4,weekday,1204599.67
4407,4,weekend,270375.33
4409,4,total,705993.16
4409,4,weekday,606517.5
4409,4,weekend,99475.66
4410,4,total,754555.65
4410,4,weekday,636176.68
4410,4,weekend,118379.01
4412,4,total,2579548.34
4412,4,weekday,2176499.02
4412,4,weekend,403049.33
4414,4,total,450735.01
4414,4,weekday,367869.33
4414,4,weekend,82865.67
4103,5,total,2935999.33
4103,5,weekday,2452729.01
4103,5,weekend,483270.33
4104,5,total,4854042.67
4104,5,weekday,4052986.34
4104,5,weekend,801056.33
4107,5,total,8336763.99
4107,5,weekday,6989861.0
4107,5,weekend,1346902.99
4108,5,total,6804263.33
4108,5,weekday,5885044.33
4108,5,weekend,919218.99
4109,5,total,2970212.67
4109,5,weekday,2463760.0
4109,5,weekend,506452.67
4110,5,total,2159108.5
4110,5,weekday,1802924.0
4110,5,weekend,356184.51
4111,5,total,2427810.34
4111,5,weekday,2057493.0
4111,5,weekend,370317.34
4112,5,total,3540036.0
4112,5,weekday,2980544.0
4112,5,weekend,559492.0
4121,5,total,16781876.33
4121,5,weekday,14515039.66
4121,5,weekend,2266836.67
4165,5,total,33149655.5
4165,5,weekday,28731446.52
4165,5,weekend,4418209.0
4204,5,total,1932703.99
4204,5,weekday,1604891.51
4204,5,weekend,327812.5
4205,5,total,1504550.67
4205,5,weekday,1265593.32
4205,5,weekend,238957.34
4207,5,total,1654614.99
4207,5,weekday,1399789.32
4207,5,weekend,254825.68
4208,5,total,721565.17
4208,5,weekday,632752.67
4208,5,weekend,88812.5
4209,5,total,905944.33
4209,5,weekday,776408.34
4209,5,weekend,129536.0
4210,5,total,772068.99
4210,5,weekday,672861.99
4210,5,weekend,99207.0
4211,5,total,668347.67
4211,5,weekday,592781.34
4211,5,weekend,75566.33
4212,5,total,1085789.34
4212,5,weekday,942005.35
4212,5,weekend,143784.01
4221,5,total,2858471.64
4221,5,weekday,2463424.33
4221,5,weekend,395047.32
4263,5,total,804389.68
4263,5,weekday,687026.67
4263,5,weekend,117363.0
4301,5,total,3408877.33
4301,5,weekday,2836603.67
4301,5,weekend,572273.65
4302,5,total,5338873.32
4302,5,weekday,4621625.66
4302,5,weekend,717247.67
4303,5,total,2328497.33
4303,5,weekday,1936842.34
4303,5,weekend,391655.01
4304,5,total,2100104.67
4304,5,weekday,1743104.32
4304,5,weekend,357000.33
4305,5,total,1692796.31
4305,5,weekday,1461639.33
4305,5,weekend,231157.01
4306,5,total,2990394.33
4306,5,weekday,2521334.66
4306,5,weekend,469059.67
4307,5,total,2140805.66
4307,5,weekday,1797217.34
4307,5,weekend,343588.32
4308,5,total,339567.33
4308,5,weekday,285450.0
4308,5,weekend,54117.33
4309,5,total,2361640.0
4309,5,weekday,1987322.33
4309,5,weekend,374317.67
4310,5,total,772713.0
4310,5,weekday,677473.33
4310,5,weekend,95239.66
4311,5,total,1689823.67
4311,5,weekday,1425864.34
4311,5,weekend,263959.33
4312,5,total,1045495.66
4312,5,weekday,895233.99
4312,5,weekend,150261.67
4313,5,total,1145412.01
4313,5,weekday,929376.99
4313,5,weekend,216034.99
4314,5,total,2131652.66
4314,5,weekday,1831705.33
4314,5,weekend,299947.32
4315,5,total,1463264.33
4315,5,weekday,1266905.33
4315,5,weekend,196359.0
4316,5,total,1528115.33
4316,5,weekday,1302234.5
4316,5,weekend,225880.83
4317,5,total,580295.0
4317,5,weekday,498356.33
4317,5,weekend,81938.67
4318,5,total,328390.67
4318,5,weekday,287448.33
4318,5,weekend,40942.33
4401,5,total,3333288.33
4401,5,weekday,2889558.84
4401,5,weekend,443729.5
4402,5,total,3763252.32
4402,5,weekday,3220502.68
4402,5,weekend,542749.66
4403,5,total,1228668.0
4403,5,weekday,1001386.0
4403,5,weekend,227282.0
4404,5,total,5019413.67
4404,5,weekday,4157165.67
4404,5,weekend,862248.01
4405,5,total,644984.33
4405,5,weekday,563791.33
4405,5,weekend,81193.0
4406,5,total,1503973.33
4406,5,weekday,1305285.01
4406,5,weekend,198688.32
4407,5,total,1600688.67
4407,5,weekday,1345583.67
4407,5,weekend,255105.0
4409,5,total,765474.5
4409,5,weekday,680280.83
4409,5,weekend,85193.67
4410,5,total,803776.0
4410,5,weekday,704106.67
4410,5,weekend,99669.34
4412,5,total,2772456.33
4412,5,weekday,2413316.66
4412,5,weekend,359139.68
4414,5,total,483599.65
4414,5,weekday,415898.99
4414,5,weekend,67700.67
4103,6,total,2866176.0
4103,6,weekday,2253835.33
4103,6,weekend,612340.66
4104,6,total,4693734.99
4104,6,weekday,3706440.34
4104,6,weekend,987294.66
4107,6,total,7886416.5
4107,6,weekday,6314679.83
4107,6,weekend,1571736.66
4108,6,total,6431092.0
4108,6,weekday,5358957.34
4108,6,weekend,1072134.66
4109,6,total,2690915.67
4109,6,weekday,2146350.32
4109,6,weekend,544565.34
4110,6,total,2066374.84
4110,6,weekday,1633633.16
4110,6,weekend,432741.67
4111,6,total,2306860.34
4111,6,weekday,1840119.0
4111,6,weekend,466741.33
4112,6,total,3316843.67
4112,6,weekday,2698537.33
4112,6,weekend,618306.34
4121,6,total,16252036.32
4121,6,weekday,13594013.33
4121,6,weekend,2658022.97
4165,6,total,32144410.66
4165,6,weekday,26948507.32
4165,6,weekend,5195903.34
4204,6,total,1822943.83
4204,6,weekday,1439363.18
4204,6,weekend,383580.66
4205,6,total,1399818.51
4205,6,weekday,1124080.34
4205,6,weekend,275738.16
4207,6,total,1524024.33
4207,6,weekday,1228136.67
4207,6,weekend,295887.67
4208,6,total,652233.5
4208,6,weekday,563507.67
4208,6,weekend,88725.83
4209,6,total,851758.66
4209,6,weekday,693301.33
4209,6,weekend,158457.33
4210,6,total,733300.35
4210,6,weekday,610456.68
4210,6,weekend,122843.66
4211,6,total,631740.66
4211,6,weekday,535621.67
4211,6,weekend,96119.01
4212,6,total,1014047.67
4212,6,weekday,840042.34
4212,6,weekend,174005.33
4221,6,total,2642863.01
4221,6,weekday,2167629.32
4221,6,weekend,475233.67
4263,6,total,757940.0
4263,6,weekday,608454.34
4263,6,weekend,149485.67
4301,6,total,3311000.0
4301,6,weekday,2594287.33
4301,6,weekend,716712.66
4302,6,total,4953096.99
4302,6,weekday,4116534.0
4302,6,weekend,836563.0
4303,6,total,2213879.33
4303,6,weekday,1751400.34
4303,6,weekend,462478.99
4304,6,total,2030623.0
4304,6,weekday,1565573.33
4304,6,weekend,465049.68
4305,6,total,1573782.0
4305,6,weekday,1300288.34
4305,6,weekend,273493.67
4306,6,total,2866679.34
4306,6,weekday,2322655.0
4306,6,weekend,544024.34
4307,6,total,1977324.34
4307,6,weekday,1583099.0
4307,6,weekend,394225.33
4308,6,total,326115.0
4308,6,weekday,262542.34
4308,6,weekend,63572.66
4309,6,total,2222602.66
4309,6,weekday,1777088.66
4309,6,weekend,445514.0
4310,6,total,720467.66
4310,6,weekday,602155.66
4310,6,weekend,118312.01
4311,6,total,1610870.0
4311,6,weekday,1314619.33
4311,6,weekend,296250.67
4312,6,total,968283.35
4312,6,weekday,801413.68
4312,6,weekend,166869.67
4313,6,total,1228483.0
4313,6,weekday,900957.66
4313,6,weekend,327525.33
4314,6,total,1973482.0
4314,6,weekday,1618461.66
4314,6,weekend,355020.34
4315,6,total,1392639.67
4315,6,weekday,1149578.32
4315,6,weekend,243061.33
4316,6,total,1401093.82
4316,6,weekday,1157819.49
4316,6,weekend,243274.33
4317,6,total,535666.67
4317,6,weekday,448248.0
4317,6,weekend,87418.66
4318,6,total,311313.33
4318,6,weekday,260200.33
4318,6,weekend,51113.0
4401,6,total,3054358.0
4401,6,weekday,2596003.33
4401,6,weekend,458354.68
4402,6,total,3557930.99
4402,6,weekday,2897083.0
4402,6,weekend,660848.01
4403,6,total,1168494.67
4403,6,weekday,912613.66
4403,6,weekend,255881.0
4404,6,total,4798599.67
4404,6,weekday,3785223.34
4404,6,weekend,1013376.33
4405,6,total,617014.34
4405,6,weekday,517948.66
4405,6,weekend,99065.67
4406,6,total,1428156.67
4406,6,weekday,1194568.33
4406,6,weekend,233588.34
4407,6,total,1541289.33
4407,6,weekday,1219473.33
4407,6,weekend,321816.0
4409,6,total,705867.0
