complex_id,month,day_group,ridership
234,1,total,347789.5
234,1,weekday,302003.0
234,1,weekend,45786.5
235,1,total,258355.0
235,1,weekday,231909.0
235,1,weekend,26446.0
236,1,total,297236.5
236,1,weekday,249705.0
236,1,weekend,47531.5
237,1,total,298821.0
237,1,weekday,258537.5
237,1,weekend,40283.5
238,1,total,117738.5
238,1,weekday,99361.5
238,1,weekend,18377.0
240,1,total,303440.0
240,1,weekday,259998.0
240,1,weekend,43442.0
241,1,total,160683.0
241,1,weekday,138350.0
241,1,weekend,22333.0
242,1,total,148337.5
242,1,weekday,128007.5
242,1,weekend,20330.0
243,1,total,255021.0
243,1,weekday,211452.5
243,1,weekend,43568.5
244,1,total,96164.5
244,1,weekday,84789.5
244,1,weekend,11375.0
245,1,total,100419.0
245,1,weekday,88450.0
245,1,weekend,11969.0
246,1,total,32491.0
246,1,weekday,28819.0
246,1,weekend,3672.0
247,1,total,15562.5
247,1,weekday,13742.0
247,1,weekend,1820.5
248,1,total,56334.0
248,1,weekday,50272.5
248,1,weekend,6061.5
249,1,total,41585.5
249,1,weekday,36813.5
249,1,weekend,4772.0
250,1,total,113517.5
250,1,weekday,100574.5
250,1,weekend,12943.0
251,1,total,29700.0
251,1,weekday,26268.0
251,1,weekend,3432.0
252,1,total,67145.0
252,1,weekday,59447.5
252,1,weekend,7697.5
253,1,total,36909.5
253,1,weekday,33290.0
253,1,weekend,3619.5
254,1,total,518673.5
254,1,weekday,462982.0
254,1,weekend,55691.5
255,1,total,202251.0
255,1,weekday,172226.0
255,1,weekend,30025.0
256,1,total,169859.5
256,1,weekday,142595.0
256,1,weekend,27264.5
257,1,total,110282.5
257,1,weekday,92791.0
257,1,weekend,17491.5
258,1,total,124986.5
258,1,weekday,108750.0
258,1,weekend,16236.5
259,1,total,638540.0
259,1,weekday,548520.5
259,1,weekend,90019.5
260,1,total,87384.5
260,1,weekday,76506.5
260,1,weekend,10878.0
261,1,total,672480.0
261,1,weekday,579545.0
261,1,weekend,92935.0
262,1,total,220677.0
262,1,weekday,194932.5
262,1,weekend,25744.5
263,1,total,390781.5
263,1,weekday,334615.5
263,1,weekend,56166.0
264,1,total,523546.0
264,1,weekday,440612.5
264,1,weekend,82933.5
265,1,total,473821.5
265,1,weekday,403019.5
265,1,weekend,70802.0
266,1,total,323838.5
266,1,weekday,271746.5
266,1,weekend,52092.0
268,1,total,93955.0
268,1,weekday,77596.0
268,1,weekend,16359.0
269,1,total,173714.5
269,1,weekday,149306.5
269,1,weekend,24408.0
270,1,total,220361.0
270,1,weekday,187019.5
270,1,weekend,33341.5
271,1,total,404830.5
271,1,weekday,334294.0
271,1,weekend,70536.5
272,1,total,128037.0
272,1,weekday,115072.5
272,1,weekend,12964.5
