puma,month,entries,exits
4110,3,1984047.8333333333,1015935.0833333334
4110,4,1951480.25,1015496.0833333334
4110,5,2103640.75,1093544.6666666667
4110,6,2007060.3333333333,1040613.75
4110,7,1863486.5,991215.0833333333
4110,8,1812200.5833333333,971752.0
4110,9,1921384.75,993047.3333333334
4110,10,2105368.9166666665,1095725.5833333333
4110,11,1923095.5,999711.8333333333
4110,12,1848623.25,975304.6666666666
4111,1,2140021.333333333,1738155.3333333335
4111,2,2017970.6666666665,1626293.0
4111,3,2290547.6666666665,1828891.6666666665
4111,4,2182935.0,1788367.0
4111,5,2354265.666666667,1927828.3333333333
4111,6,2261995.0,1867180.6666666665
4111,7,2102872.666666667,1761990.6666666667
4111,8,2143887.0,1783936.3333333335
4111,9,2239158.3333333335,1825330.6666666665
4111,10,2425941.3333333335,1938689.6666666667
4111,11,2240273.666666667,1799999.6666666667
4111,12,2142969.333333333,1762460.6666666667
4112,1,3261265.916666667,2117685.5833333335
4112,2,3048087.75,1913092.5
4112,3,3498408.3333333335,2225528.8333333335
4112,4,3355312.0833333335,2132589.5
4112,5,3530842.3333333335,2231623.6666666665
4112,6,3322271.0833333335,2093252.6666666667
4112,7,3152601.3333333335,2032935.5833333333
4112,8,3194071.1666666665,2072590.8333333333
4112,9,3294706.0833333335,2115436.25
4112,10,3597124.5,2276214.1666666665
4112,11,3349244.6666666665,2133776.75
4112,12,3220313.6666666665,2062709.75
4121,1,14761713.0,11962377.0
4121,2,14213611.0,11495239.0
4121,3,16162687.0,13003632.666666666
4121,4,16213684.333333334,13114345.333333334
4121,5,16912236.666666668,13653187.666666666
4121,6,16352253.0,13343933.333333334
4121,7,15978363.0,13155066.666666666
4121,8,16017908.0,13200707.666666666
4121,9,15943070.333333334,12932528.333333332
4121,10,17595724.0,14321165.333333334
4121,11,15557225.666666666,12663345.333333334
4121,12,15242392.666666668,12632782.666666666
4165,1,29966155.416666668,26800604.25
4165,2,27918940.0,25165584.583333332
4165,3,31919534.25,28807125.416666668
4165,4,31515055.916666664,28374903.083333332
4165,5,32636001.833333332,29303015.333333336
4165,6,31655595.5,28691776.0
4165,7,30723977.666666664,28037570.0
4165,8,31153932.75,28534593.166666668
4165,9,30256326.333333332,27491939.416666664
4165,10,33762140.833333336,30764153.083333332
4165,11,31470069.416666668,28636290.5
4165,12,31677548.333333332,29001056.5
4204,1,1521235.0,974901.5
4204,2,1421638.5833333333,914707.0833333334
4204,3,1638201.5833333335,1037614.5
4204,4,1778581.6666666667,1157259.9166666667
4204,5,1912097.9166666667,1232890.9166666667
4204,6,1802055.1666666665,1181216.1666666667
4204,7,1736998.25,1154953.9166666667
4204,8,1775552.6666666665,1171002.0
4204,9,1828877.25,1169072.3333333333
4204,10,1852094.3333333335,1171128.75
4204,11,1729464.25,1132082.75
4204,12,1589963.0833333333,1021087.0833333334
4205,1,1370757.3333333333,716996.25
4205,2,1309452.5833333335,669581.0833333334
4205,3,1473412.5,753240.1666666667
4205,4,1417511.25,741773.0833333333
4205,5,1517798.3333333333,774395.6666666667
4205,6,1416445.3333333333,755627.75
4205,7,1342326.75,738305.9166666666
4205,8,1369277.25,765160.75
4205,9,1409005.8333333335,756672.3333333334
4205,10,1539990.5833333333,814969.1666666666
4205,11,1429364.6666666665,768709.4166666666
4205,12,1365734.75,746199.3333333334
4207,1,1503000.0,700509.0
4207,2,1430820.3333333333,660091.6666666666
4207,3,1599679.6666666667,752006.0
4207,4,1553584.3333333335,732714.6666666666
4207,5,1677779.3333333333,781994.3333333333
4207,6,1555734.0,745415.3333333333
4207,7,1491542.3333333335,724758.0
4207,8,1503733.0,733559.3333333333
4207,9,1545005.0,741905.3333333333
4207,10,1677183.3333333333,800446.0
4207,11,1547041.3333333333,738803.6666666667
4207,12,1473398.0,710262.6666666667
4208,1,665346.5,215120.9166666667
4208,2,611057.0,204180.25
4208,3,709619.4166666666,229954.6666666667
4208,4,683060.25,226891.8333333333
4208,5,733052.9166666666,250774.25
4208,6,661714.5,225745.75
4208,7,634700.3333333334,229084.0
4208,8,653807.4166666666,222400.5
4208,9,724514.6666666666,245836.0
4208,10,807169.25,271567.3333333333
4208,11,742111.5,247185.33333333334
4208,12,700706.3333333333,217481.16666666666
4209,1,850419.0,832654.3333333334
4209,2,791590.3333333334,769726.6666666667
4209,3,894392.0,869130.3333333334
4209,4,860280.6666666667,837002.0
4209,5,913000.3333333334,892737.6666666667
4209,6,859927.6666666666,855544.6666666667
4209,7,826338.0,829307.3333333334
4209,8,847071.0,848979.0
4209,9,857108.3333333334,850838.3333333333
4209,10,943089.0,926289.3333333333
4209,11,868000.6666666667,857622.0
4209,12,844786.0,830654.0
4210,1,714123.6666666666,615073.6666666667
4210,2,662703.6666666666,567874.6666666666
4210,3,750004.6666666667,646458.3333333334
4210,4,723072.0,625896.6666666666
4210,5,780092.3333333333,670246.0
4210,6,742377.6666666666,646396.6666666667
4210,7,705006.0,617988.3333333334
4210,8,710255.0,630730.6666666666
4210,9,727188.6666666666,637382.6666666667
4210,10,778314.3333333333,675651.6666666666
4210,11,719183.6666666667,626522.6666666667
4210,12,698693.6666666667,604215.3333333334
4211,1,611550.6666666666,307384.6666666667
4211,2,582418.6666666666,280640.0
4211,3,656056.3333333334,332039.6666666667
4211,4,623134.0,314592.6666666667
4211,5,675111.6666666666,343965.3333333333
4211,6,638515.0,322861.3333333333
4211,7,598303.6666666666,305293.0
4211,8,592821.6666666666,307090.3333333333
4211,9,600041.6666666666,302437.0
4211,10,675959.6666666666,348346.6666666667
4211,11,610008.6666666666,312839.3333333333
4211,12,579919.3333333333,299036.3333333333
4212,1,999749.6666666666,669240.3333333334
4212,2,942323.6666666666,617688.0
4212,3,1056660.3333333333,700031.3333333334
4212,4,1006705.6666666666,675501.3333333334
4212,5,1102249.0,758201.0
4212,6,1018365.3333333334,697708.6666666666
4212,7,961289.6666666666,664416.3333333334
4212,8,943380.3333333334,647089.6666666666
4212,9,961632.3333333334,657817.3333333333
4212,10,1102870.3333333333,733213.0
4212,11,1020269.3333333333,679816.6666666666
4212,12,975202.6666666666,658752.3333333333
4221,1,2588469.3333333335,1606351.6666666667
4221,2,2435000.3333333335,1488222.3333333333
4221,3,2757331.0,1683463.6666666667
4221,4,2594637.6666666665,1608231.6666666667
4221,5,2792403.3333333335,1726139.0
4221,6,2583222.0,1644432.3333333333
4221,7,2435415.3333333335,1597757.0
4221,8,2407254.0,1617926.6666666667
4221,9,2540030.6666666665,1625411.0
4221,10,2854910.6666666665,1776050.6666666665
4221,11,2643818.6666666665,1648247.3333333333
4221,12,2515499.0,1561828.3333333333
4263,1,709228.6666666666,530064.0
4263,2,663413.3333333334,494513.3333333333
4263,3,759766.6666666666,568071.3333333334
4263,4,728804.6666666666,566110.6666666666
4263,5,778549.6666666666,607987.6666666667
4263,6,744046.0,588527.3333333334
4263,7,702530.3333333334,568774.3333333333
4263,8,677412.3333333334,558549.3333333334
4263,9,703529.6666666667,562010.6666666666
4263,10,776251.6666666666,607578.0
4263,11,713177.0,551947.3333333334
4263,12,681028.3333333334,534207.6666666666
4301,1,3175896.3333333335,2355585.0
4301,2,2928186.0,2160483.0
4301,3,3343721.333333333,2442757.0
4301,4,3305675.0,2407542.0
4301,5,3442390.6666666665,2527150.3333333335
