complex_id,station_name,year,month,entries,exits
2,"Astoria Blvd (N,W)",2018,11,310476.0,238067.0
2,"Astoria Blvd (N,W)",2018,12,256654.0,197350.0
2,"Astoria Blvd (N,W)",2019,1,285519.0,217248.0
2,"Astoria Blvd (N,W)",2019,2,242961.0,196512.0
2,"Astoria Blvd (N,W)",2019,3,141104.0,119947.0
2,"Astoria Blvd (N,W)",2019,12,81183.0,87172.0
3,"30 Av (N,W)",2015,1,366031.0,308211.0
3,"30 Av (N,W)",2015,2,349826.0,293006.0
3,"30 Av (N,W)",2015,3,413310.0,349481.0
3,"30 Av (N,W)",2015,4,407883.0,343948.0
3,"30 Av (N,W)",2015,5,414054.0,343853.0
3,"30 Av (N,W)",2015,6,407302.0,338248.0
3,"30 Av (N,W)",2015,7,395498.0,331305.0
3,"30 Av (N,W)",2015,8,388902.0,325337.0
3,"30 Av (N,W)",2015,9,400660.0,333845.0
3,"30 Av (N,W)",2015,10,433819.0,355855.0
3,"30 Av (N,W)",2015,11,392134.0,329408.0
3,"30 Av (N,W)",2015,12,403150.0,327034.0
3,"30 Av (N,W)",2016,1,372856.0,306212.0
3,"30 Av (N,W)",2016,2,372283.0,299780.0
3,"30 Av (N,W)",2016,3,417064.0,333681.0
3,"30 Av (N,W)",2016,4,401710.0,327728.0
3,"30 Av (N,W)",2016,5,413294.0,329690.0
3,"30 Av (N,W)",2016,6,410996.0,335868.0
3,"30 Av (N,W)",2016,7,366945.0,302634.0
3,"30 Av (N,W)",2016,8,387208.0,320874.0
3,"30 Av (N,W)",2016,9,396638.0,321039.0
3,"30 Av (N,W)",2016,10,401061.0,330151.0
3,"30 Av (N,W)",2016,11,393672.0,320738.0
3,"30 Av (N,W)",2016,12,382890.0,301862.0
3,"30 Av (N,W)",2017,1,378662.0,316557.0
3,"30 Av (N,W)",2017,2,351811.0,283648.0
3,"30 Av (N,W)",2017,3,393771.0,319586.0
3,"30 Av (N,W)",2017,4,379981.0,304504.0
3,"30 Av (N,W)",2017,5,354152.0,279913.0
3,"30 Av (N,W)",2017,6,363258.0,293842.0
3,"30 Av (N,W)",2017,7,354031.0,293890.0
3,"30 Av (N,W)",2017,8,317582.0,258181.0
3,"30 Av (N,W)",2017,9,313897.0,247768.0
3,"30 Av (N,W)",2017,10,244635.0,208489.0
3,"30 Av (N,W)",2018,6,72550.0,78467.0
3,"30 Av (N,W)",2018,7,348974.0,360404.0
3,"30 Av (N,W)",2018,8,383959.0,356337.0
