puma,month,entries,exits
4402,5,3742557.0,2900989.4
4402,6,3593505.0,2819579.4
4402,7,3417748.4,2692638.6
4402,8,3397135.6,2702178.8
4402,9,3597821.6,2816533.0
4402,10,3820587.8,2960400.6
4402,11,3498616.4,2699948.1999999997
4402,12,3369199.8,2633272.2
4403,1,1107177.8,849232.2
4403,2,1055521.0,814429.4
4403,3,1181450.8,909229.6
4403,4,1176279.6,911946.8
4403,5,1246027.8,952295.2
4403,6,1196118.2,920986.6
4403,7,1177135.4,913328.6
4403,8,1182553.4,925689.8
4403,9,1200436.2,930954.8
4403,10,1269935.8,952777.2
4403,11,1185780.0,894081.4
4403,12,1172601.0,905992.8
4404,1,4460989.0,3307080.4
4404,2,4207608.2,3139341.8
4404,3,4834698.2,3599273.6
4404,4,4796332.2,3631550.0
4404,5,5032458.0,3832106.4
4404,6,4866394.4,3706959.2
4404,7,4685284.4,3604997.6
4404,8,4841666.600000001,3665518.8
4404,9,4898841.8,3649241.4
4404,10,4950038.2,3779221.4
4404,11,4652106.4,3545383.0
4404,12,4668966.399999999,3511443.4
4405,1,569094.0,470715.6
4405,2,552918.6,456769.80000000005
4405,3,622023.0,511868.39999999997
4405,4,585396.2,479320.0
4405,5,658333.2,541455.6000000001
4405,6,628552.8,519128.8
4405,7,534516.8,439815.6
4405,8,536533.0,442339.4
4405,9,600808.2,500033.60000000003
4405,10,639226.4,534186.2
4405,11,594611.2,496584.2
4405,12,580417.4,480162.80000000005
4406,1,1412903.6,632525.2
4406,2,1338073.6,605685.0
4406,3,1541459.6,689640.4
4406,4,1460756.2000000002,655065.6
4406,5,1532332.5999999999,692038.6000000001
4406,6,1487128.2,675956.0
4406,7,1446085.0,650515.0
4406,8,1417475.5999999999,646458.4
4406,9,1419950.0,644317.4
4406,10,1535335.2,704882.2
4406,11,1447978.2000000002,663421.6
4406,12,1451448.8,653236.0
4407,1,1445375.8,1185795.4
4407,2,1403417.6,1154512.0
4407,3,1587737.8,1297156.4
4407,4,1542857.2,1267350.8
4407,5,1637906.0,1333974.2
4407,6,1595668.0,1310840.8
4407,7,1578505.8,1317356.2
4407,8,1598719.8,1325877.8
4407,9,1610813.6,1329730.6
4407,10,1647748.4,1343239.6
4407,11,1534061.2,1253114.6
4407,12,1555114.6,1283906.4
4409,1,710028.2,464510.4
4409,2,660940.0,423254.0
4409,3,769653.6,484283.0
4409,4,728779.2000000001,463597.4
4409,5,771812.0,503305.4
4409,6,737819.2,484221.8
4409,7,698365.4,459236.2
4409,8,691236.0,449600.6
4409,9,730649.4,468475.6
4409,10,786194.6,506763.4
4409,11,744395.6,475376.4
4409,12,733748.2000000001,480476.6
4410,1,704071.2,384584.60000000003
4410,2,683588.4,374226.6
4410,3,792180.7999999999,427396.6
4410,4,763054.4,416488.0
4410,5,804442.6,443014.0
4410,6,775280.0,432268.4
4410,7,751754.6,421225.39999999997
4410,8,780380.4,434029.4
4410,9,771491.2,410988.6
4410,10,826738.3999999999,430304.6
4410,11,759842.4,402622.4
4410,12,733354.8,391363.6
4412,1,2725800.0,2109833.4
4412,2,2623351.6,2014083.0
4412,3,3040945.0,2317684.6
4412,4,2942768.0,2251919.4
4412,5,3149879.8000000003,2406422.6
4412,6,2991510.8,2253893.6
4412,7,2848975.4,2189861.6
4412,8,2904370.4,2248518.6
4412,9,2953900.4,2269368.4
4412,10,3140646.4,2397469.6
4412,11,2900129.4,2238310.0
4412,12,2876493.0,2212844.8
4414,1,487381.6,485915.8
4414,2,462923.4,455812.0
4414,3,535688.6,525807.0
4414,4,522106.6,514808.2
4414,5,570970.2,558874.6
4414,6,593086.6,568827.8
4414,7,627819.0,598878.8
4414,8,614741.0,589518.8
4414,9,567265.6,545919.6
4414,10,570395.6,555566.4
4414,11,517806.4,514702.4
4414,12,510297.6,502057.4
