complex_id,month,entries,exits
49,1,150020.6,74419.6
50,1,146872.0,59331.2
51,1,474948.8,415970.6
52,1,184563.4,67107.4
53,1,108012.0,30243.8
54,1,339103.6,305215.8
55,1,290014.4,185503.6
56,1,78572.8,40918.2
57,1,48591.0,31801.8
58,1,299086.6,286185.2
59,1,144937.2,145388.4
60,1,105967.6,65820.0
61,1,81222.2,72547.4
62,1,54109.0,26267.4
64,1,146700.0,55489.8
65,1,164656.8,52658.2
66,1,158379.4,44270.2
67,1,130884.0,45895.4
68,1,208876.0,188006.8
69,1,138664.0,35432.8
70,1,72088.8,18621.0
71,1,314299.4,305672.2
72,1,100001.2,66865.4
74,1,91441.6,81530.4
75,1,74074.4,26094.6
76,1,198011.8,165014.6
77,1,90927.0,78685.8
78,1,69934.4,52130.0
79,1,51860.4,32337.2
80,1,56390.6,37711.4
81,1,65083.75,39295.75
82,1,50273.0,24899.4
83,1,117109.4,55594.2
84,1,94260.4,49331.6
85,1,90531.2,66937.6
86,1,35584.4,21573.2
87,1,121945.6,131400.4
88,1,85776.2,87319.0
89,1,81606.8,82096.2
90,1,72067.6,74279.2
91,1,61194.8,59768.2
93,1,85109.8,38662.0
94,1,165772.0,72493.8
95,1,174816.0,71616.0
96,1,140865.6,54035.8
97,1,306868.4,177689.4
98,1,214210.2,89976.0
99,1,119756.8,61490.8
100,1,71358.4,39408.0
101,1,315513.6,215184.6
103,1,91015.8,81143.0
107,1,156707.6,55840.0
108,1,83904.8,79047.0
109,1,129630.2,134418.4
110,1,89552.6,68523.8
111,1,54406.2,54063.2
113,1,103374.0,99834.0
114,1,85844.0,78099.66666666667
118,1,195744.4,195807.6
119,1,606676.6,650731.6
120,1,721638.8,794105.2
122,1,269761.6,181876.2
123,1,185967.0,182641.2
124,1,194164.6,112519.4
125,1,205132.8,92263.4
126,1,204196.4,52223.8
127,1,297838.6,95726.2
129,1,211600.2,134663.2
130,1,118910.8,110677.0
131,1,54419.4,40074.2
133,1,37976.2,15484.0
134,1,114381.8,81163.4
135,1,81834.4,62670.2
136,1,128629.0,122032.8
137,1,96635.2,91336.4
138,1,311691.6,77490.0
398,2,708268.2,674474.4
399,2,680042.2,495531.4
403,2,700509.6,542340.8
404,2,520218.5,513428.25
405,2,660190.0,518668.2
407,2,412041.4,435771.8
409,2,270420.8,293940.8
413,2,452889.8,344762.6
414,2,654089.8,578089.2
416,2,125754.6,128369.6
417,2,84978.8,32536.0
418,2,125581.0,39785.0
419,2,104312.2,46029.2
420,2,81741.4,38933.4
421,2,179670.6,189633.4
422,2,82688.2,30618.0
423,2,131637.2,52641.0
424,2,216401.6,90907.2
425,2,62527.8,25532.4
426,2,178436.0,146398.6
427,2,178685.6,114460.0
428,2,144658.8,128577.6
429,2,115588.0,93397.0
430,2,216310.4,56693.6
431,2,80431.0,78721.4
432,2,184360.8,52276.0
433,2,134250.2,26636.2
434,2,512170.8,234778.2
436,2,93396.2,87981.2
437,2,82599.5,4334.0
438,2,362371.2,113053.6
439,2,315450.8,148511.8
440,2,284008.2,128168.0
441,2,223574.0,189363.8
442,2,100538.6,103172.8
443,2,86668.2,12605.0
444,2,127269.0,35425.6
445,2,72389.2,53091.4
446,2,53245.4,53251.2
447,2,1403417.6,1154512.0
448,2,56651.2,56743.8
449,2,274254.0,182010.2
450,2,489998.8,373804.8
451,2,527241.4,443811.4
452,2,408138.4,201918.0
453,2,373128.6,430501.2
455,2,118496.8,120845.8
456,2,393737.8,406570.2
457,2,153254.6,145309.2
458,2,324523.0,249537.2
459,2,244512.4,212685.8
460,2,242866.2,174301.6
461,2,323977.6,100082.6
463,2,149992.8,125636.6
464,2,345212.2,252392.8
471,2,223264.0,247514.5
475,2,434862.3333333333,328493.0
476,2,610728.0,439145.6666666667
477,2,681113.6666666666,605381.6666666666
601,2,1049436.8,850537.6
602,2,2609858.0,2285672.2
603,2,345276.6,207920.4
604,2,509414.2,276633.4
605,2,637080.0,456908.5
606,2,514581.0,355859.4
607,2,2746592.6,2605232.0
608,2,311686.4,274550.0
609,2,1168747.6,1119495.6
610,2,3482883.2,3141305.8
611,2,4573362.2,3957049.2
612,2,1442505.8,1544748.8
613,2,1399196.6,1215939.2
614,2,1765898.6,1384996.2
615,2,131042.8,93389.8
616,2,1294498.6,1047102.8
617,2,1090078.0,1002598.4
618,2,1048039.4,763616.4
619,2,914799.4,843165.0
