STATION,LINENAME,station_id,Complex ID,Complex Name,Daytime Routes
46 ST BLISS ST,7,46 ST BLISS ST_7,458,46 St-Bliss St,7
46 ST-BLISS ST,7,46 ST-BLISS ST_7,458,46 St-Bliss St,7
47-50 ST-ROCK,BDFM,47-50 ST-ROCK_BDFM,225,47-50 Sts-Rockefeller Ctr,B D F M
47-50 STS ROCK,BDFM,47-50 STS ROCK_BDFM,225,47-50 Sts-Rockefeller Ctr,B D F M
49 ST,NQR,49 ST_NQR,10,49 St,N R W
49 ST,NQRW,49 ST_NQRW,10,49 St,N R W
49 ST-7 AVE,NQR,49 ST-7 AVE_NQR,10,49 St,N R W
4AV-9 ST,DFGMNR,4AV-9 ST_DFGMNR,608,4 Av-9 St,F G R
5 AV/53 ST,EM,5 AV/53 ST_EM,276,5 Av/53 St,E M
5 AV/59 ST,NQRW,5 AV/59 ST_NQRW,8,5 Av/59 St,N R W
5 AV/59 ST,NQR,5 AV/59 ST_NQR,8,5 Av/59 St,N R W
5 AVE,7BDFM,5 AVE_7BDFM,609,42 St-Bryant Pk/5 Av,7 B D F M
5 AVE-53 ST,EM,5 AVE-53 ST_EM,276,5 Av/53 St,E M
5 AVE-59 ST,NQR,5 AVE-59 ST_NQR,8,5 Av/59 St,N R W
5 AVE-BRYANT PK,7BDFM,5 AVE-BRYANT PK_7BDFM,609,42 St-Bryant Pk/5 Av,7 B D F M
50 ST,1,50 ST_1,316,50 St,1
50 ST,CE,50 ST_CE,162,50 St,C E
50 ST,D,50 ST_D,61,50 St,D
51 ST,6,51 ST_6,612,Lexington Av/51-53 Sts,6 E M
52 ST,7,52 ST_7,457,52 St,7
52 ST-LINCOLN,7,52 ST-LINCOLN_7,457,52 St,7
53 ST,R,53 ST_R,34,53 St,R
55 ST,D,55 ST_D,62,55 St,D
57 ST,F,57 ST_F,224,57 St,F
57 ST-7 AV,NQR,57 ST-7 AV_NQR,9,57 St-7 Av,N Q R W
57 ST-7 AV,NQRW,57 ST-7 AV_NQRW,9,57 St-7 Av,N Q R W
57 ST-7 AVE,NQR,57 ST-7 AVE_NQR,9,57 St-7 Av,N Q R W
59 ST,NR,59 ST_NR,35,59 St,N R
59 ST,NRW,59 ST_NRW,35,59 St,N R
59 ST,NQR456,59 ST_NQR456,613,Lexington Av/59 St,4 5 6 N R W
59 ST,456NQR,59 ST_456NQR,613,Lexington Av/59 St,4 5 6 N R W
59 ST,456NQRW,59 ST_456NQRW,613,Lexington Av/59 St,4 5 6 N R W
59 ST,NQR456W,59 ST_NQR456W,613,Lexington Av/59 St,4 5 6 N R W
59 ST COLUMBUS,1ABCD,59 ST COLUMBUS_1ABCD,614,59 St-Columbus Circle,1 A C B D
59 ST COLUMBUS,ABCD1,59 ST COLUMBUS_ABCD1,614,59 St-Columbus Circle,1 A C B D
59 ST-COLUMBUS,ABCD1,59 ST-COLUMBUS_ABCD1,614,59 St-Columbus Circle,1 A C B D
59 ST-COLUMBUS,1ABCD,59 ST-COLUMBUS_1ABCD,614,59 St-Columbus Circle,1 A C B D
6 AV,FLM123,6 AV_FLM123,601,14 St/6 Av,1 2 3 L F M
6 AVE,FLM123,6 AVE_FLM123,601,14 St/6 Av,1 2 3 L F M
61 ST WOODSIDE,7,61 ST WOODSIDE_7,456,61 St-Woodside,7
61 ST/WOODSIDE,7,61 ST/WOODSIDE_7,456,61 St-Woodside,7
63 DR-REGO PARK,MR,63 DR-REGO PARK_MR,263,63 Dr-Rego Park,M R
65 ST,MR,65 ST_MR,268,65 St,M R
66 ST-LINCOLN,1,66 ST-LINCOLN_1,314,66 St-Lincoln Center,1
67 AV,MR,67 AV_MR,262,67 Av,M R
67 AVE,MR,67 AVE_MR,262,67 Av,M R
68ST-HUNTER CO,6,68ST-HUNTER CO_6,399,68 St-Hunter College,6
68ST-HUNTER COL,6,68ST-HUNTER COL_6,399,68 St-Hunter College,6
69 ST,7,69 ST_7,455,69 St,7
69 ST-FISK AVE,7,69 ST-FISK AVE_7,455,69 St,7
7 AV,FG,7 AV_FG,240,7 Av,F G
7 AV,BDE,7 AV_BDE,277,7 Av,E B D
7 AV,BQ,7 AV_BQ,41,7 Av,B Q
7 AV-PARK SLOPE,FG,7 AV-PARK SLOPE_FG,240,7 Av,F G
7 AVE,BQ,7 AVE_BQ,41,7 Av,B Q
7 AVE-53 ST,BDE,7 AVE-53 ST_BDE,277,7 Av,E B D
71 ST,D,71 ST_D,64,71 St,D
72 ST,BC,72 ST_BC,160,72 St,C B
72 ST,123,72 ST_123,313,72 St,1 2 3
72 ST-2 AVE,Q,72 ST-2 AVE_Q,477,72 St,Q
74 ST-BROADWAY,7EFMR,74 ST-BROADWAY_7EFMR,616,Jackson Hts-Roosevelt Av/74 St-Broadway,7 E F M R
75 AV,EF,75 AV_EF,260,75 Av,E F
75 AVE,EF,75 AVE_EF,260,75 Av,E F
75 ST-ELDERTS,JZ,75 ST-ELDERTS_JZ,85,75 St-Elderts Ln,J Z
77 ST,6,77 ST_6,398,77 St,6
77 ST,R,77 ST_R,37,77 St,R
79 ST,1,79 ST_1,312,79 St,1
79 ST,D,79 ST_D,65,79 St,D
8 AV,ACEL,8 AV_ACEL,618,14 St/8 Av,A C E L
8 AV,N,8 AV_N,71,8 Av,N
8 AVE,N,8 AVE_N,71,8 Av,N
8 AVE,ACEL,8 AVE_ACEL,618,14 St/8 Av,A C E L
8 ST-B'WAY NYU,NR,8 ST-B'WAY NYU_NR,16,8 St-NYU,R W
8 ST-NYU,NRW,8 ST-NYU_NRW,16,8 St-NYU,R W
8 ST-NYU,NR,8 ST-NYU_NR,16,8 St-NYU,R W
80 ST,A,80 ST_A,190,80 St,A
81 ST-MUSEUM,BC,81 ST-MUSEUM_BC,159,81 St-Museum of Natural History,C B
82 ST-JACKSON H,7,82 ST-JACKSON H_7,453,82 St-Jackson Hts,7
85 ST-FOREST PK,J,85 ST-FOREST PK_J,84,85 St-Forest Pkwy,J
86 ST,R,86 ST_R,38,86 St,R
86 ST,1,86 ST_1,311,86 St,1
86 ST,BC,86 ST_BC,158,86 St,C B
86 ST,N,86 ST_N,79,86 St,N
86 ST,456,86 ST_456,397,86 St,4 5 6
86 ST-2 AVE,Q,86 ST-2 AVE_Q,476,86 St,Q
88 ST,A,88 ST_A,191,88 St,A
9 AV,D,9 AV_D,59,9 Av,D
9 AVE,D,9 AVE_D,59,9 Av,D
9 ST,DFGMNR,9 ST_DFGMNR,608,4 Av-9 St,F G R
90 ST-ELMHURST,7,90 ST-ELMHURST_7,452,90 St-Elmhurst Av,7
96 ST,BC,96 ST_BC,157,96 St,C B
96 ST,6,96 ST_6,396,96 St,6
96 ST,123,96 ST_123,310,96 St,1 2 3
96 ST-2 AVE,Q,96 ST-2 AVE_Q,475,96 St,Q
ALABAMA AV,J,ALABAMA AV_J,91,Alabama Av,J Z
ALABAMA AVE,J,ALABAMA AVE_J,91,Alabama Av,J Z
ALLERTON AV,25,ALLERTON AV_25,423,Allerton Av,2 5
ALLERTON AVE,25,ALLERTON AVE_25,423,Allerton Av,2 5
AQUEDUCT N.COND,A,AQUEDUCT N.COND_A,197,Aqueduct-N Conduit Av,A
AQUEDUCT RACETR,A,AQUEDUCT RACETR_A,196,Aqueduct Racetrack,A
AQUEDUCT TRACK,A,AQUEDUCT TRACK_A,196,Aqueduct Racetrack,A
AQUEDUCT-N CNDT,A,AQUEDUCT-N CNDT_A,197,Aqueduct-N Conduit Av,A
ASTOR PL,6,ASTOR PL_6,407,Astor Pl,6
ASTOR PLACE,6,ASTOR PLACE_6,407,Astor Pl,6
ASTORIA BLVD,NQW,ASTORIA BLVD_NQW,2,Astoria Blvd,N W
ASTORIA BLVD,NQ,ASTORIA BLVD_NQ,2,Astoria Blvd,N W
ASTORIA DITMARS,NQW,ASTORIA DITMARS_NQW,1,Astoria-Ditmars Blvd,N W
ASTORIA DITMARS,NQ,ASTORIA DITMARS_NQ,1,Astoria-Ditmars Blvd,N W
ATL AV-BARCLAY,2345BDNQR,ATL AV-BARCLAY_2345BDNQR,617,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
ATL AV-BARCLAY,BDNQR2345,ATL AV-BARCLAY_BDNQR2345,617,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
ATL AV-BARCLAY,BDNQR2345,ATL AV-BARCLAY_BDNQR2345,617,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
ATLANTIC AV,L,ATLANTIC AV_L,133,Atlantic Av,L
ATLANTIC AVE,L,ATLANTIC AVE_L,133,Atlantic Av,L
AVE H,BQ,AVE H_BQ,48,Avenue H,Q
AVE I,F,AVE I_F,246,Avenue I,F
AVE J,BQ,AVE J_BQ,49,Avenue J,Q
AVE M,BQ,AVE M_BQ,50,Avenue M,Q
AVE N,F,AVE N_F,248,Avenue N,F
AVE P,F,AVE P_F,249,Avenue P,F
AVE U,F,AVE U_F,251,Avenue U,F
AVE U,N,AVE U_N,78,Avenue U,N
AVE U,BQ,AVE U_BQ,52,Avenue U,Q
AVE X,F,AVE X_F,252,Avenue X,F
AVENUE H,BQ,AVENUE H_BQ,48,Avenue H,Q
AVENUE I,F,AVENUE I_F,246,Avenue I,F
AVENUE J,BQ,AVENUE J_BQ,49,Avenue J,Q
AVENUE M,BQ,AVENUE M_BQ,50,Avenue M,Q
AVENUE N,F,AVENUE N_F,248,Avenue N,F
AVENUE P,F,AVENUE P_F,249,Avenue P,F
AVENUE U,F,AVENUE U_F,251,Avenue U,F
AVENUE U,BQ,AVENUE U_BQ,52,Avenue U,Q
AVENUE U,N,AVENUE U_N,78,Avenue U,N
AVENUE X,F,AVENUE X_F,252,Avenue X,F
B'WAY-LAFAYETTE,BDFQ6,B'WAY-LAFAYETTE_BDFQ6,619,Broadway-Lafayette St/Bleecker St,6 B D F M
BARCLAYS CENTER,2345BDNQR,BARCLAYS CENTER_2345BDNQR,617,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
BARCLAYS CENTER,BDNQR2345,BARCLAYS CENTER_BDNQR2345,617,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
BARCLAYS CENTER,BDNQR2345,BARCLAYS CENTER_BDNQR2345,617,Atlantic Av-Barclays Ctr,2 3 4 5 B D N Q R
BAY 50 ST,D,BAY 50 ST_D,70,Bay 50 St,D
BAY PARKWAY,D,BAY PARKWAY_D,68,Bay Pkwy,D
BAY PKWY,D,BAY PKWY_D,68,Bay Pkwy,D
BAY PKWY,N,BAY PKWY_N,76,Bay Pkwy,N
BAY PKWY,F,BAY PKWY_F,247,Bay Pkwy,F
BAY PKY-22 AVE,N,BAY PKY-22 AVE_N,76,Bay Pkwy,N
BAY RIDGE AV,R,BAY RIDGE AV_R,36,Bay Ridge Av,R
BAY RIDGE AVE,R,BAY RIDGE AVE_R,36,Bay Ridge Av,R
BAY RIDGE-95 ST,R,BAY RIDGE-95 ST_R,39,Bay Ridge-95 St,R
BAYCHESTER AV,5,BAYCHESTER AV_5,443,Baychester Av,5
BAYCHESTER AVE,5,BAYCHESTER AVE_5,443,Baychester Av,5
BEACH 105 ST,AS,BEACH 105 ST_AS,202,Beach 105 St,A S
BEACH 25 ST,A,BEACH 25 ST_A,208,Beach 25 St,A
BEACH 36 ST,A,BEACH 36 ST_A,207,Beach 36 St,A
BEACH 44 ST,A,BEACH 44 ST_A,206,Beach 44 St,A
BEACH 60 ST,A,BEACH 60 ST_A,205,Beach 60 St,A
BEACH 67 ST,A,BEACH 67 ST_A,204,Beach 67 St,A
BEACH 90 ST,AS,BEACH 90 ST_AS,200,Beach 90 St,A S
BEACH 98 ST,AS,BEACH 98 ST_AS,201,Beach 98 St,A S
BEDFORD AV,L,BEDFORD AV_L,120,Bedford Av,L
BEDFORD AVE,L,BEDFORD AVE_L,120,Bedford Av,L
BEDFORD PARK BL,4,BEDFORD PARK BL_4,380,Bedford Park Blvd-Lehman College,4
BEDFORD PARK BL,BD,BEDFORD PARK BL_BD,211,Bedford Park Blvd,B D
BEDFORD PK BLVD,4,BEDFORD PK BLVD_4,380,Bedford Park Blvd-Lehman College,4
BEDFORD PK BLVD,BD,BEDFORD PK BLVD_BD,211,Bedford Park Blvd,B D
BEDFORD-NOSTRAN,G,BEDFORD-NOSTRAN_G,289,Bedford-Nostrand Avs,G
BEDFORD/NOSTRAN,G,BEDFORD/NOSTRAN_G,289,Bedford-Nostrand Avs,G
BEEBE-39 AVE,NQ,BEEBE-39 AVE_NQ,6,39 Av-Dutch Kills,N W
BERGEN ST,23,BERGEN ST_23,339,Bergen St,2 3
BERGEN ST,FG,BERGEN ST_FG,236,Bergen St,F G
BEVERLEY ROAD,BQ,BEVERLEY ROAD_BQ,45,Beverley Rd,Q
BEVERLY RD,25,BEVERLY RD_25,357,Beverly Rd,2 5
BEVERLY ROAD,25,BEVERLY ROAD_25,357,Beverly Rd,2 5
BLEECKER ST,6DF,BLEECKER ST_6DF,619,Broadway-Lafayette St/Bleecker St,6 B D F M
BOROUGH HALL,R2345,BOROUGH HALL_R2345,620,Borough Hall/Court St,2 3 4 5 R
BOROUGH HALL,2345R,BOROUGH HALL_2345R,620,Borough Hall/Court St,2 3 4 5 R
BOROUGH HALL/CT,2345R,BOROUGH HALL/CT_2345R,620,Borough Hall/Court St,2 3 4 5 R
BOROUGH HALL/CT,R2345,BOROUGH HALL/CT_R2345,620,Borough Hall/Court St,2 3 4 5 R
BOTANIC GARDEN,S2345,BOTANIC GARDEN_S2345,626,Franklin Av-Medgar Evers College/Botanic Garden,2 3 4 5 S
BOWERY,JZ,BOWERY_JZ,103,Bowery,J Z
BOWLING GREEN,45,BOWLING GREEN_45,414,Bowling Green,4 5
BOYD-88 ST,A,BOYD-88 ST_A,191,88 St,A
BRIARWOOD,EF,BRIARWOOD_EF,258,Briarwood,E F
BRIGHTON BEACH,BQ,BRIGHTON BEACH_BQ,55,Brighton Beach,B Q
BROAD CHANNEL,AS,BROAD CHANNEL_AS,199,Broad Channel,A S
BROAD ST,JZ,BROAD ST_JZ,107,Broad St,J Z
BROADWAY,NQ,BROADWAY_NQ,4,Broadway,N W
BROADWAY,G,BROADWAY_G,286,Broadway,G
BROADWAY,NQW,BROADWAY_NQW,4,Broadway,N W
BROADWAY JCT,ACJLZ,BROADWAY JCT_ACJLZ,621,Broadway Junction,A C J Z L
BROADWAY-31 ST,NQ,BROADWAY-31 ST_NQ,4,Broadway,N W
BROADWAY-ENY,ACJLZ,BROADWAY-ENY_ACJLZ,621,Broadway Junction,A C J Z L
BROADWAY/LAFAY,BDFQ6,BROADWAY/LAFAY_BDFQ6,619,Broadway-Lafayette St/Bleecker St,6 B D F M
BRONX PARK EAST,25,BRONX PARK EAST_25,425,Bronx Park East,2 5
BROOK AV,6,BROOK AV_6,376,Brook Av,6
BROOK AVE,6,BROOK AVE_6,376,Brook Av,6
BROOKLYN BRIDGE,456JZ,BROOKLYN BRIDGE_456JZ,622,Brooklyn Bridge-City Hall/Chambers St,4 5 6 J Z
BUHRE AV,6,BUHRE AV_6,361,Buhre Av,6
BUHRE AVE,6,BUHRE AVE_6,361,Buhre Av,6
BURKE AV,25,BURKE AV_25,422,Burke Av,2 5
BURKE AVE,25,BURKE AVE_25,422,Burke Av,2 5
BURNSIDE AV,4,BURNSIDE AV_4,384,Burnside Av,4
BURNSIDE AVE,4,BURNSIDE AVE_4,384,Burnside Av,4
BUSHWICK AV,L,BUSHWICK AV_L,131,Bushwick Av-Aberdeen St,L
BUSHWICK AVE,L,BUSHWICK AVE_L,131,Bushwick Av-Aberdeen St,L
CANAL ST,JNQRZ6,CANAL ST_JNQRZ6,623,Canal St,6 J Z N Q R W
CANAL ST,ACE,CANAL ST_ACE,169,Canal St,A C E
CANAL ST,JNQRZ6W,CANAL ST_JNQRZ6W,623,Canal St,6 J Z N Q R W
CANAL ST,1,CANAL ST_1,325,Canal St,1
CANARSIE-ROCKAW,L,CANARSIE-ROCKAW_L,138,Canarsie-Rockaway Pkwy,L
CARROLL ST,FG,CARROLL ST_FG,237,Carroll St,F G
CASTLE HILL AV,6,CASTLE HILL AV_6,365,Castle Hill Av,6
CASTLE HILL AVE,6,CASTLE HILL AVE_6,365,Castle Hill Av,6
CATHEDRAL PKWY,BC,CATHEDRAL PKWY_BC,155,Cathedral Pkwy (110 St),C B
CATHEDRAL PKWY,1,CATHEDRAL PKWY_1,308,Cathedral Pkwy (110 St),1
CATHEDRL-110 ST,BC,CATHEDRL-110 ST_BC,155,Cathedral Pkwy (110 St),C B
CENTRAL AV,M,CENTRAL AV_M,114,Central Av,M
CENTRAL AVE,M,CENTRAL AVE_M,114,Central Av,M
