year,month,period,day_group,ridership,baseline,baseline_comparison,omny_pct
2024,5,2024-05-01,weekend,18253075.0,22202531.82,0.8221,59.39
2024,6,2024-06-01,total,97448213.0,145025940.0,0.6719,55.77
2024,6,2024-06-01,weekday,75028015.0,118748452.99,0.6318,54.14
2024,6,2024-06-01,weekend,22420198.0,26277486.97,0.8532,61.23
2024,7,2024-07-01,total,95097222.0,138375204.09,0.6872,57.36
2024,7,2024-07-01,weekday,78631671.0,114247453.99,0.6883,56.71
2024,7,2024-07-01,weekend,16465551.0,24127750.16,0.6824,60.47
2024,8,2024-08-01,total,93824035.0,139711161.16,0.6716,57.9
2024,8,2024-08-01,weekday,74878419.0,117449637.12,0.6375,57.09
2024,8,2024-08-01,weekend,18945616.0,22261524.04,0.851,61.1
2024,9,2024-09-01,total,104503330.0,141791943.97,0.737,62.45
2024,9,2024-09-01,weekday,83569895.0,115288665.0,0.7249,61.87
2024,9,2024-09-01,weekend,20933435.0,26503278.96,0.7898,64.76
2024,10,2024-10-01,total,114680137.0,155641139.87,0.7368,63.53
2024,10,2024-10-01,weekday,94960002.0,132036662.36,0.7192,63.05
2024,10,2024-10-01,weekend,19720135.0,23604477.56,0.8354,65.81
2024,11,2024-11-01,total,103606445.0,143321716.51,0.7229,64.72
2024,11,2024-11-01,weekday,81102466.0,119713023.51,0.6775,63.98
2024,11,2024-11-01,weekend,22503979.0,23608693.11,0.9532,67.4
2024,12,2024-12-01,total,104952378.0,139357580.86,0.7531,65.22
2024,12,2024-12-01,weekday,82992567.0,111693927.99,0.743,64.65
2024,12,2024-12-01,weekend,21959811.0,27663652.89,0.7938,67.4
2025,1,2025-01-01,total,99944792.0,134727814.0,0.7418,66.63
2025,1,2025-01-01,weekday,82977877.0,115196516.0,0.7203,66.26
2025,1,2025-01-01,weekend,16966915.0,19531298.0,0.8687,68.46
2025,2,2025-02-01,total,95087417.0,128487909.04,0.74,68.42
2025,2,2025-02-01,weekday,77652656.0,107683067.21,0.7211,68.02
2025,2,2025-02-01,weekend,17434761.0,20804841.78,0.838,70.21
2025,3,2025-03-01,total,109466592.0,146903871.24,0.7452,69.76
2025,3,2025-03-01,weekday,85625057.0,122101888.22,0.7013,69.3
2025,3,2025-03-01,weekend,23841535.0,24801983.14,0.9613,71.4
2025,4,2025-04-01,total,111186110.0,143961426.52,0.7723,72.04
2025,4,2025-04-01,weekday,91597093.0,118246802.92,0.7746,71.69
2025,4,2025-04-01,weekend,19589017.0,25714623.7,0.7618,73.65
2025,5,2025-05-01,total,114730425.0,152174508.87,0.7539,75.09
2025,5,2025-05-01,weekday,91463964.0,129971977.17,0.7037,74.73
2025,5,2025-05-01,weekend,23266461.0,22202531.82,1.0479,76.53
2025,6,2025-06-01,total,107742940.0,145025940.0,0.7429,77.37
2025,6,2025-06-01,weekday,85487153.0,118748452.99,0.7199,76.93
2025,6,2025-06-01,weekend,22255787.0,26277486.97,0.847,79.04
2025,7,2025-07-01,total,107479796.0,138375204.09,0.7767,79.53
2025,7,2025-07-01,weekday,88488812.0,114247453.99,0.7745,79.26
2025,7,2025-07-01,weekend,18990984.0,24127750.16,0.7871,80.78
2025,8,2025-08-01,total,103695323.0,139711161.16,0.7422,82.67
2025,8,2025-08-01,weekday,79630599.0,117449637.12,0.678,82.35
2025,8,2025-08-01,weekend,24064724.0,22261524.04,1.081,83.71
2025,9,2025-09-01,total,112151587.0,141791943.97,0.791,86.39
2025,9,2025-09-01,weekday,91757007.0,115288665.0,0.7959,86.19
2025,9,2025-09-01,weekend,20394580.0,26503278.96,0.7695,87.3
2025,10,2025-10-01,total,117364446.0,155641139.87,0.7541,89.17
2025,10,2025-10-01,weekday,97702057.0,132036662.36,0.74,89.15
2025,10,2025-10-01,weekend,19662389.0,23604477.56,0.833,89.27
2025,11,2025-11-01,total,107808362.0,143321716.51,0.7522,92.27
2025,11,2025-11-01,weekday,81934545.0,119713023.51,0.6844,92.07
2025,11,2025-11-01,weekend,25873817.0,23608693.11,1.0959,92.89
2025,12,2025-12-01,total,112296650.0,139357580.86,0.8058,94.94
2025,12,2025-12-01,weekday,91157808.0,111693927.99,0.8161,94.8
2025,12,2025-12-01,weekend,21138842.0,27663652.89,0.7641,95.57
2026,1,2026-01-01,total,101524052.0,134727814.0,0.7535,97.31
2026,1,2026-01-01,weekday,82580755.0,115196516.0,0.7169,97.27
2026,1,2026-01-01,weekend,18943297.0,19531298.0,0.9699,97.52
